"run_id","time_min","V_cum_upper_mL","V_cum_eta_mL"
3,9,1.95029124394131,1.11893589255645
3,10,2.09994151343302,1.24865911256417
3,11,2.24561827774792,1.36707546305947
3,12,2.48164044183964,1.51807825901027
3,13,2.65979176454598,1.59504198878044
3,14,2.83546786442018,1.74638348777186
3,15,3.08730894609321,1.80888805734217
3,16,3.28462368456191,1.97839034711892
3,17,3.51909265215095,2.04388956499073
3,18,3.69532383183251,2.14733157054744
3,19,3.94372056442643,2.32165873719835
3,20,4.16665105308407,2.44546218106984
3,21,4.3951777498421,2.62457827058369
3,22,4.54310625482478,2.72608243098981
3,23,4.72644521364252,2.80428603926626
3,24,4.8827585808495,2.85167496745581
3,25,5.1228834741885,3.0281588342001
3,26,5.3648265315341,3.12163296784837
3,27,5.59580637301245,3.19832862456237
3,28,5.83771909827206,3.28713708433091
3,29,5.98873264129813,3.39767652639682
3,30,6.15406030764275,3.4989203284765
4,0,0,0
4,1,0.203791283334115,0.171306817901195
4,2,0.390424154314564,0.231622350256216
4,3,0.560056951167923,0.352766309803502
4,4,0.733942833897293,0.505393390317995
4,5,0.916802579926462,0.607691917523943
4,6,1.13039654909095,0.795456393856026
4,7,1.30931722332891,0.951201715929485
4,8,1.47100174103377,0.993826702880116
4,9,1.6928431351974,1.169045601056
4,10,1.92944485117774,1.29484509289162
4,11,2.12659845698101,1.35841542150516
4,12,2.35874720365403,1.47981331021277
4,13,2.56647741383322,1.61067449247844
4,14,2.77605363886195,1.77060600826847
4,15,3.01311949430494,1.9065001080748
4,16,3.26042384604154,2.0093738009338
4,17,3.43375611823535,2.15970786830471
4,18,3.58569501337139,2.2126015144263
4,19,3.79435960523033,2.3851386663484
4,20,3.95551384592079,2.44081819269785
4,21,4.14860491349973,2.52424722681563
4,22,4.3384773328722,2.65073912746516
4,23,4.50891354683404,2.74118995393936
4,24,4.6855481853612,2.89242190010335
4,25,4.90732513301119,3.02188865020605
4,26,5.11656536402931,3.16332854555011
4,27,5.28609412811688,3.27435892492934
4,28,5.44749467120258,3.36442029921922
4,29,5.64127545204354,3.43658841789474
4,30,5.82130497793914,3.52911261252393
5,0,0,0
5,1,0.206387377133176,0.117304272777098
